gingerbread,7,sweets_and_gourmand_smells,"[3]"
ginkgo,5,greens_herbs_and_fougeres,"[1, 2]"
ginseng,5,greens_herbs_and_fougeres,"[1, 2]"
gladiolus,3,flowers,"[0, 1, 2, 3]"
goat hair,10,musk_amber_animalic_smells,"[2, 3]"
goji berries,2,fruits_vegetables_and_nuts,"[0, 2]"
goldenrod,3,flowers,"[0, 1, 2, 3]"
gooseberry,2,fruits_vegetables_and_nuts,"[0, 2]"
gorse,3,flowers,"[0, 1, 2, 3]"
grape leaves,5,greens_herbs_and_fougeres,"[1, 2]"
grape seed,2,fruits_vegetables_and_nuts,"[0, 2]"
grapefruit,1,citrus_smells,"[0, 1]"
grapefruit blossom,4,white_flowers,"[0, 2, 3]"
grapes,2,fruits_vegetables_and_nuts,"[0, 2]"
graphite,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
grass,5,greens_herbs_and_fougeres,"[1, 2]"
grass tree,8,woods_and_mosses,"[2, 3]"
green nard,3,flowers,"[0, 1, 2, 3]"
green notes,5,greens_herbs_and_fougeres,"[1, 2]"
green pepper,5,greens_herbs_and_fougeres,"[1, 2]"
green sap,5,greens_herbs_and_fougeres,"[1, 2]"
green tea flower,3,flowers,"[0, 1, 2, 3]"
greengage,2,fruits_vegetables_and_nuts,"[0, 2]"
grenadine,11,beverages,"[0, 1, 2, 3]"
gromwell,5,greens_herbs_and_fougeres,"[1, 2]"
ground cherry,2,fruits_vegetables_and_nuts,"[0, 2]"
guaiac wood,8,woods_and_mosses,"[2, 3]"
guao or maiden plum,5,greens_herbs_and_fougeres,"[1, 2]"
guarana,2,fruits_vegetables_and_nuts,"[0, 2]"
guava,2,fruits_vegetables_and_nuts,"[0, 2]"
guava blossom,3,flowers,"[0, 1, 2, 3]"
gunpowder,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
gurjun balsam,9,resins_and_balsams,"[2, 3]"
halva,7,sweets_and_gourmand_smells,"[3]"
hassaku,1,citrus_smells,"[0, 1]"
hatkora lemon,1,citrus_smells,"[0, 1]"
hawthorn,3,flowers,"[0, 1, 2, 3]"
hay,5,greens_herbs_and_fougeres,"[1, 2]"
hazel blossom,3,flowers,"[0, 1, 2, 3]"
hazelnut,2,fruits_vegetables_and_nuts,"[0, 2]"
hazelnut cocoa spread,7,sweets_and_gourmand_smells,"[3]"
head space waterfall,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
heather,3,flowers,"[0, 1, 2, 3]"
hedione,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
heliotrope,3,flowers,"[0, 1, 2, 3]"
hellabore flower,3,flowers,"[0, 1, 2, 3]"
hemlock,3,flowers,"[0, 1, 2, 3]"
henna,5,greens_herbs_and_fougeres,"[1, 2]"
hi-fi,11,beverages,"[0, 1, 2, 3]"
hibiscus,3,flowers,"[0, 1, 2, 3]"
hina,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
hinoki wood,8,woods_and_mosses,"[2, 3]"
ho wood,8,woods_and_mosses,"[2, 3]"
hoary stock,3,flowers,"[0, 1, 2, 3]"
holly flower,3,flowers,"[0, 1, 2, 3]"
hollyhock,3,flowers,"[0, 1, 2, 3]"
honey,7,sweets_and_gourmand_smells,"[3]"
honeybush or cyclopia,3,flowers,"[0, 1, 2, 3]"
honeycomb,7,sweets_and_gourmand_smells,"[3]"
honeydew blossom,3,flowers,"[0, 1, 2, 3]"
honeysuckle,4,white_flowers,"[0, 2, 3]"
hops,5,greens_herbs_and_fougeres,"[1, 2]"
horchata,7,sweets_and_gourmand_smells,"[3]"
horseweed,5,greens_herbs_and_fougeres,"[1, 2]"
hortensia,3,flowers,"[0, 1, 2, 3]"
hot iron,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
"hoya carnosa, wax plant",3,flowers,"[0, 1, 2, 3]"
hyacinth,3,flowers,"[0, 1, 2, 3]"
hyraceum,10,musk_amber_animalic_smells,"[2, 3]"
hyssop,3,flowers,"[0, 1, 2, 3]"
ice,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
ice cream,7,sweets_and_gourmand_smells,"[3]"
icing pink,7,sweets_and_gourmand_smells,"[3]"
immortelle,5,greens_herbs_and_fougeres,"[1, 2]"
impatiens,3,flowers,"[0, 1, 2, 3]"
incense,9,resins_and_balsams,"[2, 3]"
incienso,8,woods_and_mosses,"[2, 3]"
indian oud,8,woods_and_mosses,"[2, 3]"
indian spices,6,spices,"[2, 3]"
indian woods,8,woods_and_mosses,"[2, 3]"
indole,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
industrial glue,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
ink,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
instant film accord,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
iris,3,flowers,"[0, 1, 2, 3]"
"ishpink, ocotea quixos",8,woods_and_mosses,"[2, 3]"
iso e super,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
isobutyl quinoline,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
ivy,5,greens_herbs_and_fougeres,"[1, 2]"
jabuticaba,2,fruits_vegetables_and_nuts,"[0, 2]"
jacaranda,3,flowers,"[0, 1, 2, 3]"
jackfruit,2,fruits_vegetables_and_nuts,"[0, 2]"
jade flower,3,flowers,"[0, 1, 2, 3]"
japanese loquat,2,fruits_vegetables_and_nuts,"[0, 2]"
japanese pepper,6,spices,"[2, 3]"
jasmine,4,white_flowers,"[0, 2, 3]"
jasmine orchid,3,flowers,"[0, 1, 2, 3]"
jasmine tea,11,beverages,"[0, 1, 2, 3]"
jatamansi or spikenard,5,greens_herbs_and_fougeres,"[1, 2]"
javanol,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
jeans,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
jobs tears (yi yi ren),2,fruits_vegetables_and_nuts,"[0, 2]"
jujube blossom,3,flowers,"[0, 1, 2, 3]"
juniper,5,greens_herbs_and_fougeres,"[1, 2]"
juniper berries,5,greens_herbs_and_fougeres,"[1, 2]"
kadam,3,flowers,"[0, 1, 2, 3]"
kaffir lime,1,citrus_smells,"[0, 1]"
kanuka,3,flowers,"[0, 1, 2, 3]"
karo-karounde,4,white_flowers,"[0, 2, 3]"
katrafay,5,greens_herbs_and_fougeres,"[1, 2]"
