top,heart,base,perfume_id
"[388, 96, 515]","[785, 372, 692]","[896, 82, 237, 246, 959]",26120211
[366],"[480, 512, 473, 927, 646]","[193, 808, 924, 624]",26120212
,,,26120213
"[530, 515, 715, 96]","[372, 785, 512]","[193, 920, 26, 624]",26120214
"[512, 793, 886, 96]","[372, 473, 180, 347]","[193, 26, 624, 513, 649]",26120215
,,,26120216
"[376, 178]","[901, 480]","[808, 193, 624]",26120217
"[971, 96, 395, 259]",[292],"[808, 26]",26120218
,,,26120219
,,,26120220
,,,26120221
,,,26120222
"[472, 336]","[193, 552]",,26120223
[793],"[646, 237, 372]","[98, 649]",26120224
"[515, 60, 793, 366]","[224, 180, 372]","[347, 900, 649, 193]",26120225
"[96, 639, 515, 886]","[180, 290, 358, 473]","[193, 624, 903, 26]",26120226
,,,26120227
"[96, 515, 395]","[480, 669, 433, 512]","[193, 692, 900, 624, 649, 26, 908]",26120228
,,,26120229
"[96, 515]",,,26120230
"[515, 96, 259, 512, 715]","[237, 924, 627, 669]","[649, 624, 26, 513, 652]",26120231
"[193, 928, 694, 661, 785, 927, 178, 224, 237, 624, 920, 433]",,,26120232
"[96, 512]",[193],"[808, 924, 28]",26120233
[562],"[512, 785, 259]","[808, 785, 33]",26120234
"[927, 694, 732, 785, 178, 224, 237, 624, 193, 920]",,,26120235
"[26, 649, 920, 808]",,,26120236
,,,26120237
"[336, 512, 604, 646]",,,26120238
"[96, 512, 229]","[180, 290, 473, 341]","[649, 193, 924, 513, 498, 26, 624]",26120239
"[45, 96, 224]","[372, 237]","[193, 808, 924]",26120240
"[96, 512, 802]","[473, 793]","[692, 808, 649]",26120241
"[60, 604, 962, 366]","[512, 886, 372]","[513, 26, 692]",26120242
"[96, 515, 480, 60, 562]","[886, 229, 785, 372, 552, 473, 527, 180]","[692, 193, 624, 649, 26, 903]",26120243
"[227, 53, 7]",,,26120244
"[660, 512, 562, 82, 519, 96, 515]","[461, 785, 180, 473, 966, 529]","[808, 472, 908, 26, 624, 649, 924]",26120245
,,,26120246
,,,26120247
"[96, 515, 82, 480]","[512, 178, 246, 473, 224, 60]","[692, 649, 193, 26, 347]",26120248
[227],"[455, 82]","[808, 692]",26120249
,,,26120250
"[96, 455, 692, 649, 513, 7]",,,26120251
"[227, 395]",,,26120252
,,,26120253
[227],"[646, 193, 224, 237]","[26, 624, 808, 647]",26120254
,,,26120255
"[96, 395]","[178, 512, 45, 732]","[193, 808]",26120256
,,,26120257
"[512, 44, 515, 82, 96]","[372, 966, 473]","[808, 924, 692, 649, 920, 908]",26120258
,,,26120259
"[45, 698, 512]","[372, 573, 395]",[808],26120260
"[12, 515]",[395],"[7, 573, 624]",26120261
"[886, 646, 802, 920]",,,26120262
"[227, 26, 455, 7, 900, 624]",,,26120263
[7],,,26120264
,,,26120265
"[227, 246, 96, 515, 480, 292]",,,26120266
"[12, 96, 229, 515, 530, 639, 785]","[180, 193, 473, 461, 692, 785, 808]","[26, 191, 498, 513, 649, 624, 908, 920]",26120267
"[96, 473]","[193, 808, 513]","[26, 624, 920]",26120268
"[96, 562, 515, 661, 178, 708, 259]","[785, 473, 529]","[398, 649, 908, 89, 193, 808, 26, 624]",26120269
"[96, 661, 938]","[178, 785, 708, 403]",,26120270
"[259, 512, 366, 715]","[398, 646, 347, 708]","[649, 808, 624, 193]",26120271
"[102, 45, 694, 574, 96]","[473, 808, 193, 649, 512, 604, 530]","[624, 920, 908]",26120272
"[96, 60, 480]","[473, 692, 924, 708]","[513, 26, 649, 624]",26120273
,,,26120274
"[96, 793, 60, 515]","[886, 372, 473, 341, 896, 193]","[692, 26, 624]",26120275
[708],,"[808, 513, 26]",26120276
"[96, 530, 473, 515]","[639, 896, 886, 793]","[692, 193, 649, 624, 808]",26120277
,,,26120278
"[512, 515, 96]","[646, 372, 180]","[808, 193, 924, 624]",26120279
"[519, 96, 793]","[512, 372]","[692, 26, 808, 649]",26120280
"[227, 96, 530]",[512],"[624, 649]",26120281
,,,26120282
,,,26120283
,,,26120284
,,,26120285
"[96, 562, 639, 515, 201]","[372, 224, 886, 661, 519]","[692, 924, 808, 624]",26120286
,,,26120287
,,,26120288
"[515, 96, 639]","[512, 372, 529, 473]","[649, 924, 692, 26, 513, 808]",26120289
"[388, 82, 178, 259, 940, 741]","[193, 395]","[808, 341, 649, 652]",26120290
,,,26120291
"[660, 515, 224]",,,26120292
"[512, 229, 515]","[372, 180, 193, 692]","[920, 903, 421, 649]",26120293
,,,26120294
"[376, 224, 237, 896, 628, 512, 793, 246, 924, 808, 193, 692]",,,26120295
"[96, 515, 530, 44, 715]","[473, 512]","[692, 649, 26, 624]",26120296
"[60, 96, 515]","[473, 180, 82]","[649, 513, 193, 191]",26120297
"[96, 388]","[180, 372, 896]","[924, 193, 808, 26, 624]",26120298
,,,26120299
"[96, 512, 259, 793]","[44, 372, 180, 473]","[193, 903, 624, 513, 649]",26120300
"[512, 96, 82, 515, 44]","[341, 966, 193, 924, 692, 473, 372, 180]","[26, 421, 903, 624, 649, 920]",26120301
,,,26120302
"[512, 229, 886, 376]","[224, 372, 180]","[920, 193, 903, 692]",26120303
"[796, 96, 178, 259]","[216, 301]","[808, 26, 920]",26120304
"[562, 201, 785, 406, 670]","[512, 372, 519, 473]","[924, 624, 920, 908, 808, 26, 472]",26120305
"[193, 193, 692, 224, 525, 178, 237, 26, 920]",,,26120306
"[512, 802, 227]","[646, 237]","[808, 624]",26120307
,,,26120308
"[193, 423]",,,26120309
,,,26120310
,,,26120311
,,,26120312
"[512, 96, 515, 44]","[372, 193, 473, 692, 224, 290, 180]","[649, 414, 513, 624, 26]",26120313
,,,26120314
"[515, 715, 660, 604]","[512, 347, 102, 473, 639]","[649, 900, 924, 624]",26120315
,,,26120316
,,,26120317
,,,26120318
,,,26120319
,,,26120320
,,,26120321
,,,26120322
"[785, 808, 259]",,,26120323
"[652, 627, 659]",,,26120324
"[96, 515]",,,26120325
"[473, 966, 649]",,,26120326
"[785, 372, 630]",,,26120327
"[966, 660, 292]",,,26120328
"[96, 913, 669]",,,26120329
"[96, 562]","[372, 259, 178, 646]","[692, 808, 903, 624, 26]",26120330
"[96, 708]","[444, 928, 646]","[924, 513]",26120331
,,,26120332
,,,26120333
"[639, 515, 715]",[178],"[193, 649, 924]",26120336
"[512, 715]","[178, 646]","[649, 924, 659, 920]",26120337
,,,26120338
"[44, 229, 96, 512, 530, 515]","[473, 692, 669, 372, 193, 692]","[26, 920, 624, 433, 649, 908]",26120339
"[227, 512]","[372, 455, 433]","[808, 692, 26, 624]",26120340
"[512, 96, 552, 708, 639, 515]","[180, 290, 808, 259, 473, 372]","[924, 649, 193, 513, 903, 26, 498]",26120341
"[388, 343, 586]","[473, 924, 552]","[649, 624, 920]",26120342
"[512, 793, 510, 96, 515]","[372, 180, 246, 259, 224, 229, 290]","[193, 649, 624, 908, 26]",26120343
,,,26120344
[227],,[26],26120345
,,,26120346
"[96, 515, 82, 886]","[180, 529, 639, 646, 259]","[692, 649, 246, 461, 802, 472]",26120347
,,,26120348
,,[28],26120349
,,,26120350
,,,26120351
,,,26120352
"[227, 96, 366]","[498, 513]","[649, 7]",26120353
"[96, 101]",[465],"[808, 785]",26120354
"[515, 388]",,,26120355
[512],"[82, 259]","[802, 903, 624]",26120356
,,,26120357
