top,heart,base,perfume_id
"[96, 562, 45, 928]","[473, 661, 966]","[920, 692, 624, 708]",26147195
,,,26147196
,,,26147197
"[473, 51, 920, 947, 708, 624]",,,26147198
"[96, 854]","[627, 461]","[924, 7]",26147199
"[562, 698, 780]","[913, 661, 785]","[624, 808]",26147200
"[928, 601, 526]","[913, 367]","[920, 808, 180]",26147201
"[362, 455, 692]","[366, 444]","[624, 7, 808]",26147202
[358],,,26147203
"[900, 708]",,,26147204
[698],[661],[193],26147205
[765],"[966, 785, 16]","[7, 924]",26147206
"[723, 388, 530, 660]","[290, 372, 177, 708]","[624, 808, 193]",26147207
"[26, 362, 7, 920]",,,26147208
,"[473, 529, 601, 574, 785, 800]","[7, 808, 920, 924]",26147209
"[785, 694]","[692, 808, 785]","[624, 765]",26147210
"[245, 920, 690]",,,26147211
"[7, 513]",,,26147212
[7],,,26147213
"[96, 259, 562]","[886, 376]","[513, 26, 624]",26147214
"[96, 45]","[872, 473, 858]","[765, 26, 624]",26147215
"[45, 723, 178, 96]","[573, 358, 512]","[808, 692]",26147216
"[698, 406, 660]","[461, 473, 527]","[920, 193, 624]",26147217
[245],[473],"[808, 920]",26147218
"[732, 694, 725, 765]","[473, 785, 367]","[624, 26, 268]",26147219
"[26, 725, 512, 461, 920, 863, 692]",,,26147220
,,,26147221
"[708, 684, 627, 7, 785, 403, 98]",,,26147222
,,,26147223
,,,26147224
,,,26147225
"[593, 96]","[913, 927, 473]","[808, 624]",26147226
"[388, 259, 96, 785]","[51, 224, 694, 473]","[461, 808, 920, 193]",26147227
[208],[473],[26],26147228
"[920, 708, 966, 908]",,,26147229
,,,26147230
"[343, 646, 201]","[193, 461, 237]","[26, 692, 732]",26147231
[785],"[896, 785, 444]","[318, 624]",26147232
"[376, 664, 473, 515, 920, 903, 924, 808]",,,26147233
"[247, 571]",,,26147234
"[661, 670]","[785, 473, 692]","[649, 26, 624, 920, 924]",26147235
"[96, 562, 437]","[661, 473, 527, 966]","[692, 187, 624]",26147236
"[96, 601]","[785, 473, 725, 692]","[808, 498, 920, 89, 624]",26147237
"[96, 224, 886]","[180, 372, 692]","[649, 513, 808, 924, 624]",26147238
"[96, 193, 515, 660]","[512, 372, 473, 886]","[513, 808, 924, 26, 920]",26147239
"[96, 512, 229]","[372, 473, 966, 692]","[624, 808, 924, 26, 920]",26147240
"[96, 741, 883]","[178, 512, 473, 660]","[924, 193, 808]",26147241
"[723, 96, 178, 562, 771]","[800, 421, 184]","[903, 692, 624, 808, 920, 176]",26147242
"[481, 708, 96, 515, 512]","[692, 193]","[282, 715]",26147243
"[481, 708, 96, 515, 512]","[692, 193]","[282, 715]",26147244
"[562, 639, 512]","[785, 707]","[193, 908]",26147245
"[356, 388, 96]",[660],"[624, 193]",26147246
"[515, 562]","[808, 692]","[624, 26]",26147247
[565],[765],,26147248
"[708, 562]","[692, 512, 793]","[924, 26, 920]",26147249
"[96, 515, 660, 562, 388]","[765, 108, 785]","[26, 920, 7]",26147250
"[698, 732, 562]","[966, 527, 237]","[193, 920]",26147251
[227],[924],[65],26147252
[785],[184],,26147253
"[649, 692, 652]",,,26147254
"[649, 512, 513]",,,26147255
"[661, 920, 421]",,,26147256
"[785, 927, 461, 765, 515, 193, 26, 624]",,,26147257
[888],[96],,26147258
"[512, 292, 653, 193]",,,26147259
"[367, 913, 473, 800, 480]",,,26147260
[358],[545],[624],26147261
[513],,,26147262
"[227, 800]","[473, 664, 7]","[26, 808, 649, 624, 924]",26147263
"[562, 46]","[555, 473]",[624],26147264
[96],"[555, 102]","[193, 692]",26147265
,"[785, 444]",[624],26147266
"[664, 473, 785, 920, 924, 808]",,,26147267
[562],"[358, 473]",[908],26147268
"[661, 42]","[928, 630, 473]","[924, 193, 692, 26, 627]",26147269
[562],"[785, 527]","[624, 920, 26, 808]",26147270
"[193, 530, 388]","[96, 513]",[624],26147271
"[45, 562]","[732, 473, 785]","[808, 920, 624, 692, 748]",26147272
"[108, 102, 660]","[765, 628]","[920, 659, 908]",26147273
"[883, 694, 16]","[180, 473, 367, 421]","[920, 624, 692]",26147274
"[96, 708, 725]","[376, 966, 555, 367, 193, 708]","[808, 908, 26, 187]",26147275
"[388, 854, 96]","[392, 672]",[624],26147276
"[193, 808, 900, 692, 920]",,,26147277
"[193, 808, 153]",,,26147278
"[26, 513, 624, 187, 802, 920]",,,26147279
"[512, 920, 26, 624]",,,26147280
"[512, 660]","[96, 481]","[193, 908, 920]",26147281
"[604, 512, 562]","[708, 927, 513]","[473, 920, 808, 26]",26147282
"[331, 376, 854, 472, 42]","[571, 224, 527, 150]","[864, 863, 498, 649, 692, 908, 808]",26147283
[376],[512],[513],26147284
"[96, 639, 785]",[455],"[7, 513, 903, 748, 920]",26147285
"[388, 512, 802, 178]",[944],"[513, 903]",26147286
"[473, 624]",,,26147287
,,,26147288
"[96, 512, 793]","[802, 966, 10]","[692, 193, 649, 652]",26147289
"[530, 388]","[519, 604]",[624],26147290
"[178, 800, 473, 187]",,,26147291
"[245, 920, 694, 388, 7, 883]",,,26147292
"[947, 437, 630]",,,26147293
"[908, 344, 920, 178]",,,26147294
"[649, 908, 692]",,,26147295
"[473, 670]",,,26147296
"[513, 800]","[599, 920]","[472, 863]",26147297
,,[193],26147298
"[176, 900, 96, 660, 319]",,,26147299
[228],[473],[913],26147300
"[920, 945]",,,26147301
[660],,,26147302
"[237, 732, 224, 927]",,,26147303
"[854, 237, 708, 82]",,,26147304
"[344, 802, 886]",,,26147305
"[819, 229]","[395, 231, 900, 944]","[193, 924, 624]",26147306
[395],"[785, 708]","[193, 231, 649, 624]",26147307
"[725, 96, 562]","[527, 473, 785]","[624, 193, 692]",26147308
"[461, 444, 473, 957]",,,26147309
"[96, 542, 512]","[372, 723]","[193, 649, 908, 808]",26147310
"[108, 472, 498]","[659, 461, 303, 627, 178]","[28, 863, 808, 498, 228, 193, 98, 624]",26147311
"[421, 180, 601]",,,26147312
"[227, 82, 924]",,,26147313
,,,26147314
[565],"[664, 473, 785]","[808, 920, 692]",26147315
[184],"[966, 473]","[908, 920]",26147316
"[530, 698]",[690],[924],26147317
"[388, 245]",,,26147318
,,,26147319
[920],,,26147320
"[920, 930]",,,26147321
"[725, 785, 785, 670]",,,26147322
"[785, 713]",,,26147323
[744],,,26147324
"[545, 530, 805]",,,26147325
"[725, 245]","[473, 707, 661]","[920, 624, 27]",26147326
"[268, 473, 920, 739]",,,26147327
[96],"[646, 178, 224]","[908, 193]",26147328
"[562, 96, 45]","[646, 224, 800]","[624, 513]",26147329
"[913, 670]",,,26147330
"[624, 924, 913, 701]",,,26147331
"[562, 765, 708]","[785, 473, 947]","[692, 920]",26147332
"[562, 102, 189, 785]",[659],"[472, 624, 920]",26147333
"[896, 267, 670]","[785, 473, 26]","[924, 808]",26147334
"[562, 725]","[785, 180]","[692, 7]",26147335
"[282, 732, 785, 692, 920, 26]",,,26147336
"[913, 473]",[624],"[26, 692, 808]",26147337
[114],"[367, 707, 938]","[908, 245, 624]",26147338
"[924, 193, 26, 708, 939, 725, 785, 692]",,,26147339
"[395, 53]","[649, 928]","[193, 924, 624]",26147342
"[473, 193, 227, 771, 624]",,,26147343
"[966, 96, 102]","[913, 354]","[692, 924, 808, 920, 472]",26147344
"[545, 928, 652, 725, 227]",,,26147346
"[680, 739]","[406, 426, 358]","[624, 32]",26147347
,[358],[245],26147348
"[708, 928, 461]","[513, 900, 317]","[924, 692]",26147349
"[96, 883, 708]","[708, 372, 188]","[920, 924, 513]",26147350
,,,26147351
"[723, 765, 694]","[785, 473]","[624, 808]",26147352
"[96, 562, 732, 698]","[785, 473, 661, 545]","[26, 808, 920, 624]",26147354
"[178, 652, 785, 461]","[193, 421]","[216, 652, 908]",26147355
[388],,,26147356
,[785],[176],26147357
"[102, 660, 725]","[473, 785, 461]","[920, 748]",26147358
"[883, 96, 515, 715]","[785, 529, 604]","[692, 193, 26, 649]",26147359
,,,26147360
,,,26147361
"[216, 920, 395, 473, 529, 26]",,,26147362
,,,26147363
,,,26147364
[808],,,26147365
,,,26147366
,,,26147367
[924],,,26147368
,,,26147369
,,,26147370
[805],,,26147371
"[46, 785]",,,26147372
"[96, 624]",,,26147373
"[227, 660, 565]",,,26147374
"[785, 201, 966, 7]",,,26147375
"[708, 247, 627, 652, 863, 808, 153]",,,26147376
"[785, 808, 908, 7]",,,26147377
"[785, 808, 7]",,,26147378
"[102, 698, 227]","[473, 661, 247]",[624],26147379
[96],"[785, 473, 707, 913, 367]","[920, 624, 808, 692]",26147380
"[82, 376, 227, 512, 388]",,,26147381
"[45, 647, 237, 646]",,,26147382
"[947, 473, 42, 802]",,,26147383
"[51, 940, 694, 515, 395]","[913, 426, 202, 966, 367, 473]","[865, 649, 12, 627, 652, 256, 900, 708, 624, 26]",26147384
"[96, 388]","[770, 473, 785]","[808, 624]",26147385
"[920, 455]",,,26147386
,,,26147387
"[388, 562, 698, 45]","[308, 765, 473, 555]","[624, 193, 808]",26147388
"[513, 28, 472]",,,26147389
"[227, 530, 376, 808, 808, 808, 808, 245, 652, 193, 920, 624]",,,26147390
,,,26147391
,,,26147392
,,,26147393
,,,26147394
"[924, 247, 7, 800, 624, 785, 153, 652, 193, 808]",,,26147395
,,,26147396
,,,26147397
"[652, 331, 863, 659, 498, 193, 808]",,,26147398
"[692, 649, 247, 808, 481, 604, 924]",,,26147399
"[28, 652, 627, 498]","[191, 228, 513, 7]",,26147400
"[191, 445, 920, 472, 224, 193, 433, 26, 808, 99, 900, 237, 924, 403]",,,26147401
,,,26147402
,,,26147403
"[515, 604, 388]",[924],"[808, 624, 908]",26147404
"[388, 39, 293]","[7, 800, 26]","[649, 808, 403]",26147405
"[388, 527, 473, 461, 692, 920, 624]",,,26147406
"[388, 519]","[376, 646, 193]","[908, 624, 28]",26147407
,,,26147408
,,,26147409
[96],"[785, 473, 966, 180, 913, 639]",,26147410
"[920, 7, 472, 624, 808, 865]",,,26147411
"[661, 660]","[947, 245]",[245],26147412
[530],"[281, 12, 395]","[865, 624]",26147413
[367],"[367, 473, 913, 26]","[367, 473, 920, 228]",26147414
[765],,,26147415
"[245, 395, 661]","[341, 913, 593, 473]","[341, 913, 924]",26147416
"[661, 660]","[771, 639, 725, 708, 785]",[624],26147417
"[785, 927, 808, 26]",,,26147418
"[515, 96, 473, 785, 947, 800]","[785, 802, 178, 187, 966, 193, 529, 433]","[692, 649, 924, 513, 808]",26147419
,,,26147420
,,,26147421
"[444, 966, 60, 201]","[692, 708]","[513, 433, 472]",26147422
,,,26147423
,,,26147424
"[741, 388]","[573, 178, 512]","[513, 649, 924]",26147425
,,,26147426
,,,26147427
"[639, 367]","[966, 913, 785, 714]","[808, 193, 920]",26147428
"[785, 372, 472]",[800],"[7, 26, 624]",26147429
"[461, 366, 908, 692, 639]",,,26147430
,,,26147431
"[7, 920, 771, 661]",,,26147432
,,,26147433
"[924, 96]","[7, 178]","[692, 924, 26]",26147434
,,,26147435
,,,26147436
"[515, 96, 723]","[698, 785, 45]","[808, 624, 908]",26147437
,,,26147438
"[96, 698]",[573],"[924, 624, 26]",26147439
"[530, 515, 96, 732, 725, 800]","[512, 461, 473, 664, 180, 785, 372, 966]","[808, 692, 7, 920, 903, 28, 624]",26147440
"[515, 247]","[512, 178]","[193, 26]",26147441
"[785, 7, 515, 96, 473, 947, 800]","[785, 802, 178, 187, 966, 193, 529, 433]","[692, 624, 26, 649, 924, 513, 808]",26147442
"[395, 694, 723, 732, 858, 45, 82, 515, 530]","[785, 529, 473, 358]","[28, 808, 692, 924, 920, 903, 624]",26147443
"[96, 515, 530, 646, 660, 723, 708]","[224, 473, 512, 785, 259, 664, 529, 800, 962]","[692, 649, 903, 920, 193, 808, 513, 26, 624, 498, 472, 228, 191]",26147444
"[883, 785, 661]","[193, 652]","[26, 920, 7]",26147445
"[292, 800, 793]",[808],"[624, 7, 692]",26147446
"[723, 732, 858, 45, 16, 96, 530, 376]","[480, 785, 473, 529, 180, 367]","[920, 903, 193, 808, 624, 28]",26147447
"[723, 732, 858, 45, 16, 96, 530, 376]","[480, 785, 473, 529, 180, 28]","[920, 903, 808, 624, 28]",26147448
"[515, 530, 512, 723, 245, 45, 765]","[573, 785, 664, 372, 529, 473, 461, 670, 421, 358]","[808, 193, 649, 624, 28]",26147449
"[515, 96, 473, 785, 947, 800]","[785, 802, 178, 187, 966, 193, 529, 433]","[692, 26, 649, 924, 513, 808]",26147450
"[282, 376, 708, 515, 732, 347]","[512, 358, 473, 461]","[808, 692, 7, 472, 624, 28, 920, 903, 624]",26147451
"[102, 96, 45, 723, 785]","[473, 692, 98, 480]","[649, 649, 26, 920]",26147452
"[660, 292, 89, 473]","[652, 224, 684, 785]","[26, 498, 920, 193, 7]",26147453
"[12, 785, 966, 649, 624]",,,26147454
,,,26147455
[805],,"[808, 461, 624]",26147456
"[388, 660, 515]","[473, 527, 822, 725, 692]","[193, 924, 808, 672]",26147457
"[515, 96, 562]","[785, 800]","[498, 863, 7, 624, 26]",26147458
,,,26147459
,,,26147460
,,,26147461
"[515, 530, 388]","[376, 178, 604]","[920, 193, 624]",26147462
,"[555, 649, 358]","[808, 74, 624]",26147463
[491],"[46, 545, 473]",,26147464
,,,26147465
,"[245, 45, 367]","[245, 920, 624]",26147466
"[562, 660]",[785],"[805, 920, 808, 908]",26147467
"[388, 694]","[437, 695]","[193, 908]",26147468
"[96, 512, 694]","[900, 908, 366, 713]","[26, 498, 624, 920]",26147469
[176],,,26147470
"[525, 562]",,,26147471
"[45, 914]",,,26147472
,,,26147473
,,,26147474
"[530, 707]",,,26147475
"[708, 388]",,,26147476
"[947, 395]",,,26147477
"[207, 96]","[45, 545]","[624, 920]",26147478
"[947, 395]",,,26147479
,[698],[920],26147480
"[692, 920, 216, 26]",,,26147481
[920],,,26147482
"[920, 473, 245]",,,26147483
[573],,,26147484
"[245, 573, 920]",,,26147485
"[661, 624, 920]",,,26147486
[920],,,26147487
"[376, 227, 395]",,,26147488
[227],,,26147489
,,,26147490
"[765, 376, 472]","[785, 669, 659, 670, 403]","[513, 920, 89, 900]",26147491
,,,26147492
"[971, 793]","[229, 661, 512]","[193, 692, 624]",26147493
"[114, 900, 455, 920, 808, 7, 472]",,,26147494
,,,26147495
"[193, 808, 7, 187, 692, 649]",,,26147496
"[725, 785]","[766, 785]","[684, 27]",26147497
,,,26147498
"[96, 388]","[44, 604]","[692, 193, 785]",26147499
"[102, 388, 698]","[707, 927, 765]","[808, 187]",26147500
"[785, 808, 920, 692]",,,26147501
"[512, 96]","[473, 180, 708]","[193, 920, 900]",26147502
"[690, 247]","[300, 664, 259]","[920, 692]",26147503
"[529, 512, 966, 358, 562, 808]",,,26147504
"[372, 785, 966, 455]",,,26147505
[303],,[920],26147506
[388],[562],[808],26147507
"[785, 473, 707, 193, 808, 624]",,,26147508
"[7, 472, 437, 473, 555, 864, 692, 26, 748, 652]",,,26147509
"[372, 473, 245, 7, 908, 920]",,,26147510
"[924, 519, 96, 193, 707, 649, 26, 624, 7, 627]",,,26147511
"[96, 60, 562, 785, 527, 765, 624, 26, 800]",,,26147512
"[96, 473, 800, 193, 649, 624, 26, 692]",,,26147513
"[624, 908, 805]",,,26147514
"[96, 947, 692, 924]",,,26147515
"[376, 604, 708, 353, 624, 472, 924]",,,26147516
,,,26147517
[660],"[367, 473]","[920, 808]",26147518
"[652, 959, 920, 473]",,,26147519
,,,26147520
"[707, 96]","[785, 193]","[7, 692, 920]",26147521
"[698, 858, 565]","[356, 358]","[692, 26, 624]",26147522
"[96, 886]","[473, 661, 800]","[808, 692, 193, 403, 188, 26, 624]",26147523
"[388, 780, 515]","[237, 646]","[193, 292]",26147524
"[96, 924, 785, 366, 649, 395, 715, 785, 928, 193]",,,26147525
"[44, 808, 96, 118, 785, 228, 236, 358, 649, 421, 395, 461, 732, 526, 927, 928, 193]",,,26147526
"[28, 808, 96, 924, 785, 150, 180, 228, 785, 372, 89, 366, 473, 649, 421, 395, 515, 601, 461, 707, 715, 785, 785, 473, 526, 927, 928, 193]",,,26147527
"[388, 96, 773, 920, 646, 473, 692, 808, 624, 26]",,,26147528
"[96, 562, 515, 593]","[573, 358, 372, 290, 259]","[26, 193, 513, 692, 624]",26147529
"[358, 96, 395, 708]","[473, 785, 367]","[26, 624, 808]",26147530
"[96, 395, 725]","[473, 529, 707, 785]","[26, 193, 920, 624]",26147531
,"[785, 367, 473]","[924, 808, 624]",26147532
"[60, 512, 96, 562, 646, 896]","[692, 193, 808]","[26, 624, 513, 627, 908]",26147533
"[515, 725]","[473, 450, 639]","[624, 7]",26147534
"[376, 530, 708]","[403, 473, 224]","[900, 472, 624, 193]",26147535
[562],"[433, 450]",[908],26147536
"[96, 725, 698]","[473, 707]","[808, 920, 193]",26147537
"[515, 96, 562, 723, 331]","[604, 512, 376]","[193, 624]",26147538
"[530, 940, 723]","[725, 178]","[193, 808, 924]",26147539
"[96, 661, 562]","[473, 207, 102, 927, 785]","[920, 26]",26147540
"[480, 178]","[627, 498]","[900, 692]",26147541
"[562, 376, 928]","[473, 529, 785, 367]","[808, 193, 624]",26147542
"[227, 12]","[601, 282, 32]","[461, 624, 228]",26147543
"[292, 331]","[472, 800]","[808, 193, 863, 28]",26147544
"[562, 780]","[785, 938, 526]","[808, 692, 624]",26147545
"[118, 927]","[529, 530, 421]","[461, 670, 7, 624]",26147546
"[96, 254, 229]","[187, 785]","[28, 808, 900, 649]",26147547
"[96, 515, 715, 388]","[512, 646]",[924],26147548
"[465, 376, 96, 12]","[461, 42, 237]","[924, 624, 461]",26147549
"[362, 785]","[966, 28, 513, 646]","[692, 193, 924, 920, 624]",26147550
"[227, 906, 366]",[785],"[193, 649]",26147551
"[178, 227]","[670, 744, 913, 259]","[624, 908, 7]",26147552
,,,26147553
[96],[661],[28],26147554
[928],[461],[513],26147555
"[437, 555]",[398],[433],26147556
,,,26147557
[227],"[920, 908]","[26, 513, 864]",26147558
[96],[708],"[692, 193, 647, 649]",26147559
[372],"[785, 604]",[808],26147560
"[96, 883]",[927],"[26, 900]",26147561
,,,26147562
,,,26147563
,,,26147564
,,,26147565
,,,26147566
"[96, 708]","[802, 512, 36, 498]","[193, 808, 403, 624]",26147567
"[515, 562, 573]",[723],"[26, 193, 692]",26147568
"[227, 515, 661]","[372, 692, 684, 7]","[26, 808, 187, 627, 920]",26147569
[96],[473],[908],26147570
"[375, 227]","[461, 649, 573]","[924, 26]",26147571
"[227, 928]","[802, 661]","[649, 924, 193, 908]",26147572
"[530, 227, 96, 562, 178, 376, 927, 688]","[53, 529, 802, 193]","[193, 808, 692, 26, 624]",26147573
"[765, 60, 562]","[785, 661, 461]","[692, 26, 920]",26147574
"[562, 96, 966]","[707, 670, 765]",[7],26147575
"[193, 924]",,,26147576
"[513, 785, 624]",,,26147577
"[900, 920]",,,26147578
"[45, 388, 562, 639]","[367, 207]",[624],26147579
[865],,"[920, 624]",26147580
[388],[353],[624],26147581
"[562, 353, 395]",,,26147582
"[604, 178, 512]","[529, 193]","[808, 920]",26147583
,,,26147584
"[455, 353, 7, 513]",,,26147585
[343],[927],[187],26147586
"[639, 515, 178, 96]","[480, 512, 372, 473, 939]","[27, 908, 924, 187]",26147587
"[12, 660]","[372, 433]","[624, 692, 26]",26147588
"[562, 45]","[473, 785, 927]","[920, 692, 624]",26147589
"[96, 480]","[928, 708, 802]","[924, 649, 692]",26147590
[207],"[924, 60, 927]","[808, 692, 26]",26147591
[766],"[473, 785, 526]",[26],26147592
"[51, 16, 692, 461, 920, 808]",,,26147593
"[562, 732]","[473, 785, 785]","[692, 7, 433, 647]",26147594
"[652, 193, 924, 692, 920, 498]",,,26147595
"[96, 770, 178]",[661],"[193, 908, 498]",26147596
"[96, 60]","[512, 802, 372, 928, 237]","[692, 649, 472, 924]",26147597
[562],"[649, 646]","[26, 624]",26147598
"[660, 562]","[661, 437, 426]",[624],26147599
"[96, 178, 193, 624]",,,26147600
"[96, 227, 366]","[180, 785, 527, 947]","[624, 7]",26147601
[26],,,26147602
"[883, 545, 555]","[108, 785]","[319, 601]",26147603
[455],,,26147604
"[800, 630, 26]",,,26147605
"[920, 858, 176]",,,26147606
[376],"[512, 82]","[480, 624]",26147607
,,,26147608
,,,26147609
,,,26147610
"[292, 366, 802, 473, 367, 819, 649, 26, 624]",,,26147611
"[96, 661]","[785, 461]","[692, 908, 26]",26147612
[388],"[529, 473]","[26, 624]",26147613
"[96, 660, 562, 646, 624, 343]",,,26147614
,,,26147615
"[562, 515, 725, 82, 180]","[512, 785, 473, 529]","[624, 692, 920, 659, 627, 472, 26]",26147616
"[562, 96, 388]","[98, 178, 928]","[649, 193, 26, 472]",26147617
"[555, 367, 670, 692, 472, 649]",,,26147618
,,,26147619
"[96, 366, 395, 473, 259, 624, 920]",,,26147620
[7],,,26147621
"[480, 971, 793, 376]","[193, 224, 282]","[708, 800, 920]",26147622
[473],[785],[624],26147623
,,,26147624
,,,26147625
"[601, 473]","[785, 913]","[624, 920, 748]",26147626
,,,26147627
,,,26147628
[515],"[732, 529, 473, 785]","[920, 808, 624]",26147629
"[461, 473, 367, 938, 808, 26, 513]",,,26147630
[356],,,26147631
"[433, 96]",,"[28, 89]",26147632
,,,26147633
"[388, 259, 82]","[661, 376, 178]","[900, 26, 193]",26147634
"[33, 800, 864, 376, 624, 513]",,,26147635
[455],,,26147636
[367],,,26147637
,,,26147638
,,,26147639
,,,26147640
[227],"[661, 473]","[16, 920, 624]",26147641
,,,26147642
"[773, 45, 466, 74, 526, 785]",,,26147643
,,,26147644
"[473, 692, 924]",,,26147645
"[530, 42]","[178, 928]",[188],26147646
"[96, 832]","[928, 26, 864]","[808, 908, 624]",26147647
"[421, 698, 187]",,,26147648
"[694, 96, 939]","[358, 473, 529]","[193, 920, 624]",26147649
,,,26147650
"[187, 193]",,,26147651
"[938, 593, 785]",,,26147652
,,,26147653
,,,26147654
,,,26147655
,,,26147656
,,,26147657
"[461, 245, 920]",,,26147658
,,,26147659
,,,26147660
"[661, 388, 26]",,,26147661
"[7, 924]",,,26147662
"[555, 45, 392]",,,26147663
"[388, 259, 723]","[84, 512, 661]","[692, 461, 513]",26147664
,,,26147665
"[227, 26]",,,26147666
"[808, 649]",,,26147667
,,,26147668
"[920, 353, 7]",,,26147669
"[96, 388]",[694],"[627, 908]",26147670
[708],"[461, 178, 785, 512]","[920, 624, 924, 692, 403]",26147671
"[708, 224, 800, 472]",,"[863, 498, 684, 624, 187, 692, 808]",26147672
"[796, 513]","[461, 433]","[808, 193, 7, 652, 863, 920]",26147673
,,,26147674
"[96, 660]","[512, 927, 966]","[573, 343]",26147675
"[96, 292, 331]","[472, 924, 461]","[808, 692]",26147676
"[661, 785, 555, 664, 473]",,,26147677
"[473, 913, 367, 529, 785, 927, 661]",,,26147678
"[227, 512]","[455, 7]",[7],26147679
"[96, 725]","[785, 707, 529]","[808, 624, 692]",26147680
"[473, 913, 555, 698, 624]",,,26147681
"[725, 698, 928]","[707, 26, 664, 529]","[908, 624]",26147682
"[947, 661]","[437, 785]","[920, 624]",26147683
"[562, 515, 366, 512, 927]","[529, 473, 646, 924]","[692, 498, 649, 624]",26147684
"[515, 96, 82, 512]","[372, 646]","[692, 624, 649]",26147685
"[660, 515, 512]","[692, 163]","[900, 624]",26147686
"[96, 515, 660, 542, 639]","[237, 246]","[624, 660]",26147687
"[863, 461]",[785],"[928, 624]",26147688
"[515, 562, 928]","[913, 953, 376]","[624, 26, 193]",26147689
"[660, 562, 725]","[947, 661, 473, 966]","[920, 89]",26147690
"[96, 530]","[708, 376, 646]","[98, 26, 692, 472, 193]",26147691
"[515, 660, 388]","[224, 545, 358]","[808, 624, 26]",26147692
"[694, 732, 358]","[785, 473, 529, 966]","[920, 247, 908, 193, 808]",26147693
[624],,,26147694
"[96, 530, 515, 793]","[290, 358, 259]","[692, 649, 193, 624]",26147695
"[96, 60, 224]","[512, 259]","[692, 924]",26147696
"[7, 237]",,,26147697
"[7, 652, 7]",,,26147698
[723],[473],"[652, 808, 28]",26147699
"[911, 227]","[652, 785]","[403, 28]",26147700
[886],"[966, 913]","[924, 461, 808]",26147701
"[660, 96, 604]","[16, 947]","[649, 26, 193]",26147702
"[698, 765, 690, 694, 102]",[529],"[421, 624, 692, 808, 920]",26147703
"[44, 886]","[765, 785]","[461, 627, 7]",26147704
[178],"[661, 433]","[900, 414, 692]",26147705
"[193, 808, 800, 26, 99, 920]",,,26147706
[560],"[664, 908, 920]",[808],26147707
"[388, 715, 562, 515]","[512, 793, 354, 854]","[26, 924, 624]",26147708
,"[180, 785]","[785, 433]",26147709
,,,26147710
"[388, 562, 45]","[785, 358]","[920, 808, 624]",26147711
"[183, 461]",[473],"[670, 920]",26147712
,,,26147713
"[593, 96, 708]","[672, 928, 45]","[26, 187, 920]",26147714
"[562, 515, 178, 725]","[353, 461, 924, 193]","[808, 26, 920, 908, 624]",26147715
,,,26147716
"[515, 512, 708]","[353, 661]","[193, 692]",26147717
,,,26147718
[473],[74],[624],26147719
,,,26147720
"[800, 785, 367]","[7, 455, 692]","[652, 959]",26147721
[661],,[193],26147722
"[101, 388, 515]","[604, 646, 372, 802]","[692, 924, 649, 26]",26147723
"[883, 530, 388, 96]","[646, 785, 692]","[7, 193, 920, 513, 808]",26147724
,,,26147725
"[96, 515, 512, 102]","[473, 927, 785]","[808, 649, 624]",26147726
,,,26147727
,,,26147728
,,,26147729
,,,26147730
"[562, 96, 694]","[473, 529]",[920],26147731
"[96, 515, 715]","[927, 473, 229, 372]","[193, 649, 366, 624]",26147732
"[96, 708]",[928],[7],26147733
"[652, 652, 627, 331, 692, 26, 924, 193]",,,26147734
"[785, 303, 800, 966, 7]",,,26147735
"[26, 669]","[913, 785]","[26, 808, 920]",26147736
"[639, 675, 193, 692]",,,26147737
"[708, 639, 924, 403]",,,26147738
[325],,,26147739
[331],"[924, 498, 652]","[627, 26]",26147740
"[292, 928]","[924, 820, 229]","[924, 624, 191]",26147741
"[937, 7, 692, 924, 7, 652, 627]",,,26147742
"[515, 388, 785]","[473, 193, 708, 555]","[692, 924, 26]",26147743
,,,26147744
,,,26147745
[227],,,26147746
,,,26147747
"[388, 530, 562]","[473, 376, 725, 646]","[193, 498, 472]",26147748
"[515, 530, 573]","[178, 512]","[649, 193, 26]",26147749
,,,26147750
,,,26147751
,,,26147752
"[515, 513, 864, 959, 28, 376, 178, 473]",,,26147753
,,,26147754
,,,26147755
,,,26147756
"[947, 748, 247, 808, 920]",,,26147757
"[96, 562]",,"[624, 692, 808]",26147758
,,,26147759
"[282, 224, 966, 808, 193]",,,26147760
,,,26147761
"[96, 12]","[785, 966, 913, 473, 529, 927]","[26, 624, 808]",26147762
"[515, 96]","[177, 224, 178, 639]","[692, 808, 924]",26147763
,,,26147764
"[96, 519, 660]","[793, 178, 646]","[924, 27, 808]",26147765
,,,26147766
"[934, 562, 928]",[785],"[924, 472, 808]",26147767
"[376, 96]","[646, 802]","[7, 300]",26147768
"[698, 96]","[178, 512, 461]","[920, 808]",26147769
"[388, 886, 178]","[98, 646, 193]","[808, 924, 403]",26147770
[473],[785],"[26, 692]",26147771
"[692, 562, 796, 920, 624]",,,26147772
"[224, 237, 372, 366]","[913, 966, 473, 785]","[913, 692]",26147773
,[649],,26147774
"[403, 692, 708, 472, 193]",,,26147775
,,,26147776
,,,26147777
,,,26147778
"[96, 515, 388]","[473, 259]","[26, 624, 924, 193, 498]",26147779
"[902, 920, 785, 800, 498, 26]",,,26147780
,,,26147781
[808],,,26147782
[515],"[512, 708]","[924, 292, 649, 808]",26147783
"[680, 630]",,,26147784
"[96, 512]","[372, 473, 646, 224, 237]","[193, 808, 924, 692, 624, 920]",26147785
